20:08:28.632,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:28.732,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:28.765,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:28.765,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:28.833,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:28.934,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:28.965,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:28.965,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:29.034,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:29.135,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:29.165,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:29.165,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:29.236,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:29.337,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:29.366,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:29.366,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:29.437,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:29.538,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:29.566,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:29.566,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:29.638,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:29.739,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:29.767,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:29.767,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:29.839,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:29.940,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:29.967,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:29.967,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:30.042,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:30.143,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:30.169,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:30.170,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:30.244,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:30.344,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:30.370,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:30.370,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:30.445,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:30.545,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:30.570,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:30.571,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:30.646,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:30.746,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:30.771,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:30.771,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:30.847,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:30.947,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:30.971,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:30.971,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:31.048,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:31.148,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:31.171,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:31.171,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:31.249,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:31.349,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:31.372,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:31.372,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:31.450,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:31.550,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:31.573,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:31.573,0x7DF,STD,8,RX,00 00 00 00 00 00 00 00
20:08:31.651,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
20:08:31.751,0x7DF,STD,8,TX,00 00 00 00 00 00 00 00
